puck_xy_key,event_id,game_id,point_number,x,y,distance_to_net,angle_to_net,_export_timestamp
PKL189690100101,EV1896901001,18969,1,96.3,41.4,42.0,,2026-01-12T23:37:15.505082
PKL189690100102,EV1896901001,18969,2,75.9,47.6,49.4,74.6,2026-01-12T23:37:15.505176
PKL189690100201,EV1896901002,18969,1,46.5,14.7,45.0,19.1,2026-01-12T23:37:15.505366
PKL189690100202,EV1896901002,18969,2,72.5,11.3,20.0,34.4,2026-01-12T23:37:15.505409
PKL189690100203,EV1896901002,18969,3,105.4,10.8,19.6,,2026-01-12T23:37:15.505435
PKL189690100204,EV1896901002,18969,4,139.4,12.5,51.9,,2026-01-12T23:37:15.505455
PKL189690100205,EV1896901002,18969,5,168.9,12.5,80.9,,2026-01-12T23:37:15.505474
PKL189690100206,EV1896901002,18969,6,188.7,15.9,101.0,,2026-01-12T23:37:15.505503
PKL189690100207,EV1896901002,18969,7,193.8,49.3,115.8,,2026-01-12T23:37:15.505537
PKL189690100208,EV1896901002,18969,8,189.3,73.7,124.5,,2026-01-12T23:37:15.505571
PKL189690100209,EV1896901002,18969,9,138.8,74.8,89.9,,2026-01-12T23:37:15.505602
PKL189690100210,EV1896901002,18969,10,158.6,74.2,101.7,,2026-01-12T23:37:15.505634
